article_id,author,category,created_at,link,pub_date,title
AKR20260521182000001,황윤기,정치,1779382953152,https://www.yna.co.kr/view/AKR20260521182000001,1779370692000,"李대통령, 익선동 야장 깜짝방문…카페서 ""거기 커피는 아니죠?"""
AKR20260521087952001,박수윤,정치,1779382953164,https://www.yna.co.kr/view/AKR20260521087952001,1779370067000,"[24시 동행취재] 오세훈 ""鄭에 한표도 못준다""…강북 출발·강남 피날레(종합2보)"
AKR20260521095152001,최평천,정치,1779382953165,https://www.yna.co.kr/view/AKR20260521095152001,1779369067000,"[24시 동행취재] 한강벨트 찍고 강남 찾은 정원오…""남탓하는 吳바꿔야""(종합2보)"
AKR20260521160100063,김준범,정치,1779382953166,https://www.yna.co.kr/view/AKR20260521160100063,1779368401000,통합무산 책임론에 네거티브까지…충남지사 토론회서 공방 가열
AKR20260521179500004,최원정,사회,1779382953167,https://www.yna.co.kr/view/AKR20260521179500004,1779367158000,'내란선전' 前 KTV원장 구속영장 기각…특검 첫 신병확보 실패
AKR20260521179000064,박병기,정치,1779382953168,https://www.yna.co.kr/view/AKR20260521179000064,1779366545000,"""검증된 행정가"" vs ""예산 전문가"" 옥천군수 TV 토론서 격돌"
AKR20260521178000001,고동욱,사회,1779382953169,https://www.yna.co.kr/view/AKR20260521178000001,1779366377000,"李대통령, 여름 앞둔 쪽방촌 방문…""어머님들이 건강하셔야"""
AKR20260521178900064,전창해,정치,1779382953170,https://www.yna.co.kr/view/AKR20260521178900064,1779365931000,"조병옥 ""중단없는 발전 약속"" vs 임택수 ""도돌이 행정은 안돼"""
AKR20260521175500001,권희원,정치,1779382953172,https://www.yna.co.kr/view/AKR20260521175500001,1779365897000,"이준석, 李대통령 스벅질타에 ""정원오 5·18 알리바이는 정의인가"""
AKR20260521150751001,김상연,정치,1779382953173,https://www.yna.co.kr/view/AKR20260521150751001,1779364811000,"與, 유정복 '가상자산 신고누락' 의혹 맹폭…""내일 경찰 고발 예정""(종합)"
AKR20260521175800051,이영재,정치,1779382953174,https://www.yna.co.kr/view/AKR20260521175800051,1779362776000,"한동훈, 박민식에 ""하정우 당선되더라도 날 막겠단 입장인 듯"""
AKR20260521087851052,김선경,정치,1779382953175,https://www.yna.co.kr/view/AKR20260521087851052,1779362210000,거대 양당 경남지사·창원시장 후보 출정식…창원서 세 대결(종합)
AKR20260521174500001,설승은,사회,1779382953176,https://www.yna.co.kr/view/AKR20260521174500001,1779361927000,"모교 창학기념식 참석한 金여사 ""교육, 사회 변화시키는 큰 힘"""
AKR20260521173500052,박정헌,사회,1779382953176,https://www.yna.co.kr/view/AKR20260521173500052,1779361308000,"진주시장 후보 토론, 우주항공 비전·금품요구 의혹 두고 격돌"
AKR20260521173200065,신민재,정치,1779382953177,https://www.yna.co.kr/view/AKR20260521173200065,1779360647000,"유정복측 ""가상자산 신고누락 주장은 정치공세""…반박자료 공개"
AKR20260521173400504,민선희,정치,1779382953178,https://www.yna.co.kr/view/AKR20260521173400504,1779359479000,"외교부, 초국가범죄 대응 동향 점검…동남아·중국 공관장회의"
AKR20260521170100001,이상현,정치,1779382953179,https://www.yna.co.kr/view/AKR20260521170100001,1779358668000,"金총리, 유엔개발계획 총재 면담…'AI 허브' 등 협력 논의"
AKR20260521168900061,김광호,정치,1779382953180,https://www.yna.co.kr/view/AKR20260521168900061,1779356979000,"민주·혁신당, 평택을 재선거 첫날부터 '자질·네거티브' 공방"
AKR20260521169000064,천경환,정치,1779382953181,https://www.yna.co.kr/view/AKR20260521169000064,1779356463000,충북 단양군수 TV 토론…공약 실현성 놓고 공방
AKR20260521166800504,민선희,산업,1779382953182,https://www.yna.co.kr/view/AKR20260521166800504,1779355710000,한-키르기스스탄 경제공동위 개최…韓기업 투자 확대 논의
AKR20260521095151001,최평천,정치,1779382953183,https://www.yna.co.kr/view/AKR20260521095151001,1779355157000,"[24시 동행취재] 한강벨트 찍고 강남 향한 정원오…""'남탓' 오세훈 바꿔야""(종합)"
AKR20260521087951001,박수윤,정치,1779382953184,https://www.yna.co.kr/view/AKR20260521087951001,1779355150000,"[24시 동행취재] 강북 먼저 파고든 오세훈…""정원오에 단 한 표도 주지말라""(종합)"
AKR20260521158800057,허광무,정치,1779382953185,https://www.yna.co.kr/view/AKR20260521158800057,1779354890000,"울산남갑 보선 후보들, 선거운동 첫날 ""내가 참 일꾼"" 호소"
AKR20260521166100062,이상학,정치,1779382953186,https://www.yna.co.kr/view/AKR20260521166100062,1779354582000,춘천시장 후보들 공식선거운동 돌입…'원팀' 앞세워 표심 공략
AKR20260521165500054,정다움,사회,1779382953186,https://www.yna.co.kr/view/AKR20260521165500054,1779354380000,"전남광주시장 후보들 ""행정통합 성공위해 시민참여 확대"""
AKR20260521164600061,김광호,정치,1779382953187,https://www.yna.co.kr/view/AKR20260521164600061,1779354303000,'K-반도체 중심' 용인시장 선거 13일간의 열전 돌입
AKR20260521162300063,박주영,사회,1779382953188,https://www.yna.co.kr/view/AKR20260521162300063,1779354271000,"'이장우 스카이박스 무상이용 의혹', 선거 앞두고 고발전 비화"
AKR20260521159200001,서혜림,사회,1779382953189,https://www.yna.co.kr/view/AKR20260521159200001,1779354013000,"與 '5·18 비방·모욕 처벌법' 발의…""엄벌로 모독행위 응징"""
AKR20260521162500504,김철선,정치,1779382953190,https://www.yna.co.kr/view/AKR20260521162500504,1779353954000,"한미동맹재단, 임진각 미군 참전기념비서 합동 추모식"
AKR20260521158500057,장지현,사회,1779382953190,https://www.yna.co.kr/view/AKR20260521158500057,1779353839000,"""김두겸 후보, 취재진 폭행"" 주장에 金 ""사실 왜곡, 고발 조치"""
AKR20260521158400504,하채림,북한,1779382953191,https://www.yna.co.kr/view/AKR20260521158400504,1779353808000,"정동영, 美전문가와 간담회…'현실적 북핵 해법' 의견교환"
AKR20260521109052001,노선웅,정치,1779382953192,https://www.yna.co.kr/view/AKR20260521109052001,1779353670000,"""특단 조치 필요""…국힘 일각, 평택을·부산북갑 단일화 촉구(종합2보)"
AKR20260521163900504,민선희,정치,1779382953193,https://www.yna.co.kr/view/AKR20260521163900504,1779353662000,"조현 외교장관, UNDP 총재 접견…韓기업 UN 조달시장 참여 논의"
AKR20260521151100001,김정진,정치,1779382953194,https://www.yna.co.kr/view/AKR20260521151100001,1779353459000,"여야, 격전지 돌며 총력 선거전 돌입…내란심판·정권심판 격돌"
AKR20260521082551063,김준범,정치,1779382953195,https://www.yna.co.kr/view/AKR20260521082551063,1779353449000,박수현 '공주터미널'·김태흠 '현충사'…충남지사 선거전 돌입(종합)
